"Iteration","Swap Count"
"1","519114"
"2","35926"
"3","6388"
"4","2558"
"5","1536"
"6","1067"
"7","820"
"8","598"
"9","473"
"10","365"
"11","290"
"12","245"
"13","217"
"14","167"
"15","155"
"16","130"
"17","119"
"18","90"
"19","73"
"20","43"
"21","44"
"22","33"
"23","30"
"24","21"
"25","15"
"26","8"
"27","13"
"28","14"
"29","6"
"30","9"
"31","6"
"32","5"
"33","2"
"34","3"
"35","3"
"36","2"
"37","2"
"38","2"
"39","3"
"40","1"
"41","1"
"42","0"
