"Iteration","Swap Count"
"1","524069"
"2","34553"
"3","6244"
"4","2552"
"5","1517"
"6","1095"
"7","774"
"8","605"
"9","475"
"10","377"
"11","294"
"12","209"
"13","161"
"14","133"
"15","98"
"16","87"
"17","86"
"18","79"
"19","51"
"20","50"
"21","49"
"22","30"
"23","21"
"24","10"
"25","12"
"26","3"
"27","4"
"28","1"
"29","1"
"30","0"
