"Iteration","Swap Count"
"1","281809"
"2","19611"
"3","2909"
"4","1283"
"5","759"
"6","427"
"7","275"
"8","191"
"9","124"
"10","93"
"11","73"
"12","46"
"13","38"
"14","30"
"15","13"
"16","9"
"17","8"
"18","1"
"19","0"
