"Iteration","Swap Count"
"1","513524"
"2","34575"
"3","6304"
"4","2448"
"5","1541"
"6","1067"
"7","794"
"8","616"
"9","479"
"10","414"
"11","321"
"12","274"
"13","196"
"14","151"
"15","118"
"16","100"
"17","72"
"18","65"
"19","52"
"20","49"
"21","42"
"22","30"
"23","28"
"24","28"
"25","23"
"26","12"
"27","9"
"28","5"
"29","5"
"30","9"
"31","6"
"32","6"
"33","7"
"34","5"
"35","2"
"36","2"
"37","1"
"38","2"
"39","1"
"40","0"
